,types,complaints,Commnet,cleanmsg
0,Stress/Anxiety,How do I overcome my anxierty and depression?,,overcome anxierty depression
2,Marriage,I'm going through depression right now and my relationship is suffering,,depression right relationship suffer
3,Stress/Anxiety,How do I talk to my girlfriend about my anxiety from her exes?,,talk girlfriend anxiety
4,Relationship Dissolution,My fiancÃ©'s ex-husband shows up unannounced,,fiancã© ex-husband show unannounced
5,Behavioral Change,How do I stop sneaking away from home at night?,,stop sneak away home night
6,Relationships,My relationship feels off and I feel insecure,,relationship feel feel insecure
7,Relationship Dissolution,How do I move on?,,move
9,Stress/Anxiety,Do I have too many issues for counseling?,,many issue counsel
10,Depression,How would I know if I was depressed?,,depressed
12,Relationships,Is it possible for a couple to overcome cheating if it only happened once?,,possible couple overcome cheat happen
13,Intimacy,My husband works all the time and neglects his family,,work time neglect family
14,Relationship Dissolution,How to get over somebody?,,somebody
15,Workplace issues,I feel burned out,,feel burn
17,Depression,I'm depressed because I want to lose weight,,depressed want lose weight
18,Family Conflict,A friend of my child's father is sending him inappropriate content,,friend child father send inappropriate content
19,LGBTQ,"I'm soon to be married, and I've been messing around with others",,soon married 've mess around others
21,Self-esteem,Can I change my feeling of being worthless to everyone?,,change feel worthless everyone
22,Depression,I think my friend might have depression,,think friend might depression
23,Workplace issues,How can I see my base doctor without my ID?,,see base doctor without
24,Relationships,How can I learn to be content and at peace?,,learn content peace
25,Intimacy,How do I handle my fiancÃ©e always telling me how bad of a job I'm doing in making them happy?,,handle fiancã©e always tell bad job make happy
26,Counseling Fundamentals,Is it normal to cry during therapy?,,normal cry therapy
27,Relationships,How can I help my fiancÃ© accept and let go of my past?,,help fiancã© accept past
28,Stress/Anxiety,Can anxiety make me say foul language?,,anxiety make say foul language
29,Relationships,I don't trust my boyfriend,,trust boyfriend
30,Counseling Fundamentals,Is it normal to cry at therapy?,,normal cry therapy
31,Family Conflict,My family can't stand me,,family stand
32,Intimacy,What should I do about not being sexually attracted to my girlfriend of five years?,,sexually attract girlfriend five year
33,Marriage,What should I do about my marriage and my wife's behavior?,,marriage behavior
34,Relationship Dissolution,How do I get my husband back?,,back
35,Relationships,How can I get over this girl I only knew for a year?,,knew year
36,Stress/Anxiety,I think my daughter is stressing too much,,think daughter stress much
37,Counseling Fundamentals,Can a past therapist disclose information to a current therapist that you are seeing?,,past therapist disclose information current therapist see
38,Family Conflict,"How do I cope with ""never being good enough?""",,cope never good enough
39,Depression,Is there anything I can do about my depression and anxiety?,,anything depression anxiety
40,Counseling Fundamentals,Is it normal to go into therapy feeling nervous?,,normal therapy feel nervous
41,Counseling Fundamentals,What happens in a counseling session?,,happens counsel session
42,Stress/Anxiety,How can I cope with work related stress better?,,cope work related stress well
43,Relationships,"Do I text, call, or make contact first, the same day of the morning I left his house?",,text call make contact first day morning left house
44,Behavioral Change,How can I get over my OCD and anxiety?,,ocd anxiety
45,Trauma/Grief/Loss,"How do you cope with the death of your child, while surrounded with your parents who aren't supportive and disregard your feelings?",,cope death child surround parent supportive disregard feeling
46,Stress/Anxiety,"I'm a mess physically, mentally, emotionally, and spiritually",,mess physically mentally emotionally spiritually
47,Relationship Dissolution,How can I take care of my depression from a breakup?,,take care depression breakup
48,Trauma/Grief/Loss,Why can't I stop crying?,,stop cry
49,Self-esteem,I want to become a better man,,want become well man
50,Workplace issues,I feel like I'm going to get fired because I cried at work,,feel fire cry work
51,Intimacy,How do I get my sex drive back after my rape?,,sex drive back rape
52,Relationship Dissolution,How do I break an unhealthy relationship pattern?,,break unhealthy relationship pattern
54,Self-esteem,What can I do when I feel like I'm not using my potential?,,feel use potential
55,Family Conflict,I think my trust issues are going to end my relationship early,,think trust issue end relationship early
56,Relationships,How do balance attention between my girlfriend and my dogs?,,balance attention girlfriend dog
57,Marriage,Can our marriage still be saved?,,marriage still save
59,Stress/Anxiety,How do I handle all of my stress?,,handle stress
60,Anger Management,How can I be less angry?,,less angry
61,Anger Management,Why is my fiancÃ© angry at me about his automobile insurance?,,fiancã© angry automobile insurance
62,Self-esteem,How can I stop myself from making poor choices and hurting the one I love?,,stop make poor choice hurt love
63,Depression,How can I best fight the winter blues?,,best fight winter blue
64,Relationships,I feel completely alone in my marriage,,feel completely alone marriage
66,Behavioral Change,What's going on with these mood swings?,,mood swing
67,Stress/Anxiety,Do I have some type of anxiety?,,type anxiety
68,LGBTQ,How can I be interested in the same sex after nearly 40 years of being straight?,,interested sex nearly year straight
69,Intimacy,Is it wrong for me to be attracted to my girlfriend?,,wrong attract girlfriend
70,Relationships,I found my boyfriend talking to his ex-girlfriend,,found boyfriend talk ex-girlfriend
71,Stress/Anxiety,I always fear that people are judging me,,always fear people judging
72,Relationship Dissolution,How do I deal with the break off of my engagement?,,deal break engagement
73,Depression,I always feel depressed,,always feel depressed
74,LGBTQ,I crossdress and I don't know how to feel about it,,crossdress feel
75,Stress/Anxiety,is it normal not to feel empathy?,,normal feel empathy
